Week,Chills,Diarrhea,Nausea,Cough,Vomiting,Sore throat,Headache,Sneeze
2023-05-28,1,13,9,14,12,7,13,3
2023-06-04,1,13,8,13,11,6,12,2
2023-06-11,1,14,9,13,11,6,13,2
2023-06-18,1,14,8,12,11,5,13,2
2023-06-25,1,14,9,12,10,5,14,2
2023-07-02,1,14,8,11,12,5,13,3
2023-07-09,1,14,9,11,11,5,13,2
2023-07-16,1,13,8,10,10,5,13,2
2023-07-23,1,13,8,11,11,5,13,3
2023-07-30,1,13,8,11,10,5,15,2
2023-08-06,1,13,8,11,11,5,14,2
2023-08-13,1,13,8,11,10,5,13,2
2023-08-20,1,13,8,12,10,6,14,2
2023-08-27,1,12,8,13,10,6,13,3
2023-09-03,1,17,8,14,10,6,13,3
2023-09-10,1,13,8,14,10,7,14,3
2023-09-17,1,13,8,15,10,6,14,3
2023-09-24,1,12,8,16,10,6,14,3
2023-10-01,1,11,8,16,10,6,13,2
2023-10-08,1,11,8,17,11,6,13,3
2023-10-15,1,12,8,18,11,6,13,3
2023-10-22,1,12,8,19,11,7,13,3
2023-10-29,1,11,7,18,11,7,12,3
2023-11-05,1,12,8,21,12,7,14,3
2023-11-12,1,12,8,22,12,7,14,3
2023-11-19,1,12,8,22,12,7,13,3
2023-11-26,1,12,8,23,12,8,14,3
2023-12-03,1,12,9,21,12,7,13,3
2023-12-10,2,13,9,25,12,8,14,3
2023-12-17,2,14,9,27,13,10,14,3
2023-12-24,2,14,10,29,14,10,14,3
2023-12-31,2,14,9,27,13,9,15,3
2024-01-07,1,13,9,21,11,7,14,3
2024-01-14,1,12,8,19,11,6,14,3
2024-01-21,1,12,9,19,12,7,14,3
2024-01-28,2,12,9,17,12,7,14,3
2024-02-04,2,12,9,18,12,7,14,3
2024-02-11,2,12,9,18,12,7,14,3
2024-02-18,2,13,9,19,11,7,14,3
2024-02-25,1,12,9,18,10,7,13,3
2024-03-03,1,12,8,16,10,6,13,3
2024-03-10,1,12,8,16,9,6,12,3
2024-03-17,1,12,8,17,9,6,13,3
2024-03-24,1,13,8,16,9,6,13,3
2024-03-31,1,12,9,15,9,6,12,3
2024-04-07,1,12,8,15,9,6,13,3
2024-04-14,1,12,8,15,10,6,14,3
2024-04-21,1,12,8,15,11,6,13,3
2024-04-28,1,12,8,15,11,6,12,3
2024-05-05,1,12,9,15,11,6,12,3
2024-05-12,1,12,8,14,11,6,12,3
2024-05-19,1,13,8,15,11,6,13,3
2024-05-26,1,12,9,14,10,6,12,3
