Week,Chills,Diarrhea,Nausea,Cough,Vomiting,Sore throat,Headache,Sneeze
2022-05-29,1,10,7,15,7,7,10,2
2022-06-05,1,10,6,13,9,6,11,2
2022-06-12,1,10,6,13,9,6,11,2
2022-06-19,1,11,7,12,9,6,11,2
2022-06-26,1,11,8,12,9,6,11,2
2022-07-03,1,11,7,12,10,6,11,2
2022-07-10,1,11,7,12,10,6,12,2
2022-07-17,1,11,7,11,10,6,12,2
2022-07-24,1,11,7,11,10,6,11,2
2022-07-31,1,11,7,11,9,5,11,2
2022-08-07,1,10,7,11,9,5,11,2
2022-08-14,1,10,6,11,9,5,11,2
2022-08-21,1,10,6,12,8,6,11,2
2022-08-28,1,10,6,12,8,6,10,2
2022-09-04,1,10,6,12,9,6,11,2
2022-09-11,1,10,6,13,8,6,10,2
2022-09-18,1,9,6,13,7,6,10,2
2022-09-25,1,9,6,13,7,5,10,2
2022-10-02,1,9,6,14,7,6,10,2
2022-10-09,1,9,6,15,7,6,10,2
2022-10-16,1,9,6,16,8,6,10,2
2022-10-23,1,9,6,17,8,6,10,2
2022-10-30,1,9,6,18,8,7,10,2
2022-11-06,1,9,6,19,7,7,11,2
2022-11-13,1,9,6,20,7,7,10,2
2022-11-20,1,9,6,23,8,8,10,3
2022-11-27,2,10,7,22,8,8,11,2
2022-12-04,1,9,7,21,8,7,11,2
2022-12-11,1,10,7,21,9,7,11,2
2022-12-18,1,9,7,21,8,9,10,2
2022-12-25,1,10,8,21,10,9,11,3
2023-01-01,1,10,7,18,10,7,11,2
2023-01-08,1,9,6,15,10,6,11,2
2023-01-15,1,9,7,13,10,6,11,2
2023-01-22,1,9,7,14,10,6,10,2
2023-01-29,1,10,6,14,11,6,11,2
2023-02-05,1,10,7,15,11,6,11,2
2023-02-12,1,10,7,14,11,6,11,2
2023-02-19,1,10,7,14,11,6,11,2
2023-02-26,1,10,7,14,11,6,11,2
2023-03-05,1,10,7,14,11,6,11,2
2023-03-12,1,11,7,14,11,6,10,2
2023-03-19,1,11,7,14,11,6,11,2
2023-03-26,1,10,7,14,10,6,10,2
2023-04-02,1,10,7,13,10,5,10,2
2023-04-09,1,11,7,12,10,5,11,2
2023-04-16,1,10,7,13,10,5,10,2
2023-04-23,1,10,7,12,9,5,10,2
2023-04-30,1,10,7,12,10,6,10,2
2023-05-07,1,10,7,12,9,6,10,2
2023-05-14,1,10,7,12,10,6,10,2
2023-05-21,1,11,7,12,10,6,11,2
2023-05-28,1,11,7,12,10,5,10,2
